card_number;level;category;question;color;print_front;notes
1;1;Kennismaking;Waarom ben je ooit in dit vak terechtgekomen?;#C9A8E0;Waarom ben je ooit in dit vak terechtgekomen?;Open zonder inhoudelijke lading. Kort antwoord mag.
2;1;Kennismaking;Welke eigenschap helpt jou het meest in je werk?;#C9A8E0;Welke eigenschap helpt jou het meest in je werk?;Open zonder inhoudelijke lading. Kort antwoord mag.
3;1;Kennismaking;Wat zou een collega zeggen dat typisch iets van jou is?;#C9A8E0;Wat zou een collega zeggen dat typisch iets van jou is?;Open zonder inhoudelijke lading. Kort antwoord mag.
4;1;Kennismaking;Wat wist je op je eerste werkdag nog niet?;#C9A8E0;Wat wist je op je eerste werkdag nog niet?;Open zonder inhoudelijke lading. Kort antwoord mag.
5;1;Kennismaking;Welk deel van je werk zou je nooit willen inleveren?;#C9A8E0;Welk deel van je werk zou je nooit willen inleveren?;Open zonder inhoudelijke lading. Kort antwoord mag.
6;1;Kennismaking;Waar in je werk voel je je het meest op je plek?;#C9A8E0;Waar in je werk voel je je het meest op je plek?;Open zonder inhoudelijke lading. Kort antwoord mag.
7;1;Kennismaking;Welke vaardigheid heb je in dit vak per ongeluk geleerd?;#C9A8E0;Welke vaardigheid heb je in dit vak per ongeluk geleerd?;Open zonder inhoudelijke lading. Kort antwoord mag.
8;1;Kennismaking;Welke ervaring van buiten dit vak gebruik je hier nog dagelijks?;#C9A8E0;Welke ervaring van buiten dit vak gebruik je hier nog dagelijks?;Open zonder inhoudelijke lading. Kort antwoord mag.
9;1;Kennismaking;Wat zou je jezelf aanraden als je vandaag opnieuw zou beginnen?;#C9A8E0;Wat zou je jezelf aanraden als je vandaag opnieuw zou beginnen?;Open zonder inhoudelijke lading. Kort antwoord mag.
10;1;Kennismaking;Wat doe je in je werk waar je stiekem trots op bent?;#C9A8E0;Wat doe je in je werk waar je stiekem trots op bent?;Open zonder inhoudelijke lading. Kort antwoord mag.
11;1;Werkplezier;Wanneer heb je voor het laatst hard gelachen op je werk?;#C9A8E0;Wanneer heb je voor het laatst hard gelachen op je werk?;Bedoeld om te lachen. Nooit ten koste van cliënten of gezinnen.
12;1;Werkplezier;Wat maakt een werkdag voor jou geslaagd?;#C9A8E0;Wat maakt een werkdag voor jou geslaagd?;Bedoeld om te lachen. Nooit ten koste van cliënten of gezinnen.
13;1;Werkplezier;Welk moment van deze week wil je onthouden?;#C9A8E0;Welk moment van deze week wil je onthouden?;Bedoeld om te lachen. Nooit ten koste van cliënten of gezinnen.
14;1;Werkplezier;Waar krijg je energie van, ook als het druk is?;#C9A8E0;Waar krijg je energie van, ook als het druk is?;Bedoeld om te lachen. Nooit ten koste van cliënten of gezinnen.
15;1;Werkplezier;Welke gewoonte helpt jou de werkdag door?;#C9A8E0;Welke gewoonte helpt jou de werkdag door?;Bedoeld om te lachen. Nooit ten koste van cliënten of gezinnen.
16;1;Werkplezier;Wat is het mooiste compliment dat je ooit van een jongere kreeg?;#C9A8E0;Wat is het mooiste compliment dat je ooit van een jongere kreeg?;Bedoeld om te lachen. Nooit ten koste van cliënten of gezinnen.
17;1;Werkplezier;Welke uitspraak van een jongere heeft je positief verrast?;#C9A8E0;Welke uitspraak van een jongere heeft je positief verrast?;Bedoeld om te lachen. Nooit ten koste van cliënten of gezinnen.
